Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2000","Stanford University","Political science and government","First Time Students","Female","32",
"2000","Stanford University","Political science and government","First Time Students","Male","33",
"2000","Stanford University","Political science and government","Returning Students","Total for selected values","87",
"2000","Stanford University","Political science and government","Returning Students","Female","35",
"2000","Stanford University","Political science and government","Returning Students","Male","52",
"2000","Stanford University","Preventive medicine and community health","Total for selected values","Total for selected values","9",
"2000","Stanford University","Preventive medicine and community health","First Time Students","Total for selected values","1",
"2000","Stanford University","Preventive medicine and community health","First Time Students","Female","1",
"2000","Stanford University","Preventive medicine and community health","Returning Students","Total for selected values","8",
"2000","Stanford University","Preventive medicine and community health","Returning Students","Female","3",
"2000","Stanford University","Preventive medicine and community health","Returning Students","Male","5",
"2000","Stanford University","Psychology not elsewhere classified","Total for selected values","Total for selected values","77",
"2000","Stanford University","Psychology not elsewhere classified","First Time Students","Total for selected values","25",
"2000","Stanford University","Psychology not elsewhere classified","First Time Students","Female","18",
"2000","Stanford University","Psychology not elsewhere classified","First Time Students","Male","7",
"2000","Stanford University","Psychology not elsewhere classified","Returning Students","Total for selected values","52",
"2000","Stanford University","Psychology not elsewhere classified","Returning Students","Female","39",
"2000","Stanford University","Psychology not elsewhere classified","Returning Students","Male","13",
"2000","Stanford University","Social sciences not elsewhere classified","Total for selected values","Total for selected values","45",
"2000","Stanford University","Social sciences not elsewhere classified","First Time Students","Total for selected values","20",
"2000","Stanford University","Social sciences not elsewhere classified","First Time Students","Female","7",
"2000","Stanford University","Social sciences not elsewhere classified","First Time Students","Male","13",
"2000","Stanford University","Social sciences not elsewhere classified","Returning Students","Total for selected values","25",
"2000","Stanford University","Social sciences not elsewhere classified","Returning Students","Female","13",
"2000","Stanford University","Social sciences not elsewhere classified","Returning Students","Male","12",
"2000","Stanford University","Sociology","Total for selected values","Total for selected values","50",
"2000","Stanford University","Sociology","First Time Students","Total for selected values","10",
